id,run_id,course_id,idea_central,nombres,objetivos,descripcion,state,validation_report,semantic_result,auto_retry_count,iteration_count,generation_metadata,created_by,created_at,updated_at
02e19b54-9d43-4e12-9ef7-99324251b752,run-1768434970868,,"TEMA: Comunicación Asíncrona Efectiva
IDEA PRINCIPAL: Dominar las herramientas y etiquetas de la comunicación digital para equipos distribuidos, reduciendo reuniones innecesarias.
PÚBLICO OBJETIVO: Equipos de desarrollo de software y startups remotas.
RESULTADOS ESPERADOS: Reducción del 50% en reuniones síncronas y mejora en la documentación de procesos.","[""Maestría en Comunicación Asíncrona para Equipos Tecnológicos"", ""Async Expert: Flujos de Trabajo para Equipos Remotos Ágiles"", ""Menos Reuniones, Más Código: Comunicación Asíncrona para Desarrolladores""]","[""Comprender los principios de la comunicación asíncrona y su impacto en la productividad de equipos distribuidos."", ""Aplicar técnicas de redacción y estructuración de mensajes para garantizar claridad y reducir la ambigüedad en la comunicación digital."", ""Diseñar un sistema de comunicación asíncrona, definiendo canales, herramientas y protocolos de respuesta para un equipo de desarrollo."", ""Implementar flujos de trabajo basados en documentación que reemplacen las reuniones informativas y de seguimiento."", ""Analizar la efectividad de las prácticas de comunicación asíncrona mediante métricas de reducción de reuniones y calidad de la documentación."", ""Evaluar herramientas de colaboración asíncrona como Loom, Slack, Trello y Notion para optimizar los flujos de trabajo del equipo.""]","{""texto"": ""Domina la comunicación asíncrona para optimizar la colaboración de tu equipo y eliminar reuniones innecesarias. Este curso te enseñará a utilizar estratégicamente herramientas digitales y a definir una etiqueta de comunicación que fomente la productividad y la claridad en equipos distribuidos."", ""beneficios"": ""Reduce en un 50% las reuniones síncronas, fortalece la documentación de procesos y decisiones, y aumenta la autonomía del equipo."", ""diferenciador"": ""Enfoque 100% práctico con plantillas y casos de uso reales aplicados específicamente a los flujos de trabajo de equipos técnicos."", ""publico_objetivo"": ""Diseñado para equipos de desarrollo de software, startups y empresas que trabajan de forma remota o híbrida."", ""estructura_general"": ""Organizado en módulos prácticos sobre principios de asincronía, dominio de herramientas clave, etiqueta digital y la creación de un manual de comunicación.""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""3 nombres generados correctamente""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""6 objetivos en rango válido (3-6)""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción completa con todos los campos""}, {""code"": ""VAL_004"", ""passed"": true, ""message"": ""Todos los objetivos usan verbos de Bloom""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Objetivos bien formulados con verbos observables de la taxonomía de Bloom"", ""confidence"": 0.8578964902345757}",0,0,{},,2026-01-14 23:56:09.653822+00,2026-01-16 22:29:14.862679+00
0ecd1b54-ad27-456b-8518-ddb826f20fcc,run-1767452101434,,GPT´s para valientes,"[""GPT´s para valientes""]","[""Comprender la naturaleza de un modelo de lenguaje y las funciones clave de la interfaz ChatGPT para interactuar de forma efectiva."", ""Aplicar los pasos fundamentales para definir propósito, acciones y límites operativos de un GPT personalizado que funcione como asistente real."", ""Configurar estilo/tono, integrar contexto externo (archivos) y validar el desempeño del GPT con pruebas reales antes de lanzarlo.""]","{""texto"": ""Curso práctico para aprender el truco que hace que tus GPTs rindan x10: pasar de “pedirle cosas a un chat” a programar un asistente con propósito, acciones claras, límites anti-desviación, estilo definido y uso estratégico de contexto/archivos. Al finalizar, podrás diseñar, configurar y probar GPTs personalizados listos para tareas reales (ventas, soporte, operaciones y más). Público: Emprendedores, líderes de equipo, consultores, creadores de contenido y profesionales que quieren construir GPTs personalizados para su trabajo sin necesidad de programar."", ""beneficios"": ""Desarrollo de competencias clave"", ""diferenciador"": ""Contenido estructurado y práctico"", ""publico_objetivo"": ""Emprendedores, líderes de equipo, consultores, creadores de contenido y profesionales que quieren construir GPTs personalizados para su trabajo sin necesidad de programar."", ""estructura_general"": ""3 módulos con lecciones prácticas""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""Nombres válidos""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""Objetivos completos""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción válida""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Importado manualmente - validación automática"", ""confidence"": 1}",0,1,"{""imported"": true, ""import_date"": ""2026-01-03T14:55:01.424Z""}",,2026-01-03 14:55:02.780291+00,2026-01-03 14:55:02.780291+00
1466ff37-6c6b-4b58-bccf-374fad3e31dc,run-1767114543459,,Stack: ChatGPT – Procesamiento Inteligente de Texto y Datos,"[""Stack: ChatGPT – Procesamiento Inteligente de Texto y Datos""]","[""Aplicar técnicas de extracción de datos para convertir texto no estructurado en formatos procesables (JSON/Excel)."", ""Crear variaciones de guiones de venta (elevator pitch) adaptados a múltiples audiencias mediante prompts avanzados."", ""Analizar reportes financieros extensos para identificar métricas de crecimiento y riesgos operativos usando la capacidad de contexto de la IA.""]","{""texto"": ""Este curso de microlearning se enfoca en potenciar la productividad operativa mediante el uso avanzado de ChatGPT. Aprenderás a transformar información desordenada en datos estructurados, generar comunicaciones de venta adaptativas y analizar documentos corporativos complejos en cuestión de minutos, utilizando técnicas de prompt engineering y manejo de archivos."", ""beneficios"": ""Desarrollo de competencias clave"", ""diferenciador"": ""Contenido estructurado y práctico"", ""publico_objetivo"": ""Profesionales y equipos"", ""estructura_general"": ""1 módulos con lecciones prácticas""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""Nombres válidos""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""Objetivos completos""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción válida""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Importado manualmente - validación automática"", ""confidence"": 1}",0,1,"{""imported"": true, ""import_date"": ""2025-12-30T17:09:03.448Z""}",,2025-12-30 17:09:03.624225+00,2025-12-30 17:09:03.624225+00
28f70651-b644-4325-b838-c925d752e278,run-1767375240300,,GPT´s para valientes,"[""GPT´s para valientes""]","[""Comprender la naturaleza del modelo de lenguaje y las funciones clave de la interfaz ChatGPT para una interacción efectiva."", ""Comprender y aplicar los conceptos de los primeros pasos para la programación del asistente objetivo general: aplicar los pasos fundamentales para definir el rol, las acciones específicas y los límites operativos del gpt personalizado. duración: 1 hora 30 min (aprox.)"", ""Comprender y aplicar los conceptos de refinando el estilo, usando contexto y validación final objetivo general: configurar el tono de comunicación, integrar fuentes de contexto externo y validar el desempeño del gpt para su uso real. duración: 1 hora 45 min (aprox.)""]","{""texto"": ""Curso estructurado en 3 módulos que cubren desde los fundamentos hasta aplicaciones avanzadas."", ""beneficios"": ""Desarrollo de competencias clave"", ""diferenciador"": ""Contenido estructurado y práctico"", ""publico_objetivo"": ""Profesionales y equipos"", ""estructura_general"": ""3 módulos con lecciones prácticas""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""Nombres válidos""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""Objetivos completos""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción válida""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Importado manualmente - validación automática"", ""confidence"": 1}",0,1,"{""imported"": true, ""import_date"": ""2026-01-02T17:34:00.289Z""}",,2026-01-02 17:34:00.479793+00,2026-01-02 17:34:00.479793+00
2dd66901-d851-4066-8b7e-243dbbf3a578,run-1768585230832,,"TEMA: Comunicación Asíncrona Efectiva
IDEA PRINCIPAL: Dominar las herramientas y etiquetas de la comunicación digital para equipos distribuidos, reduciendo reuniones innecesarias.
PÚBLICO OBJETIVO: Equipos de desarrollo de software y startups remotas.
RESULTADOS ESPERADOS: Reducción del 50% en reuniones síncronas y mejora en la documentación de procesos.","[""Comunicación Asíncrona para Equipos Tech: Colaboración y Productividad Sin Reuniones"", ""Async-First: Estrategias de Comunicación para Startups y Equipos de Desarrollo Remotos"", ""Domina la Colaboración Digital: Menos Reuniones, Más Documentación y Código Eficiente""]","[""Comprender los fundamentos y beneficios de la comunicación asíncrona en equipos de desarrollo distribuidos."", ""Aplicar técnicas de comunicación escrita y visual para documentar procesos y decisiones de forma clara y accesible."", ""Desarrollar un protocolo de comunicación asíncrona, seleccionando las herramientas adecuadas para la gestión de proyectos, el intercambio de conocimientos y la colaboración en código."", ""Evaluar la efectividad de las prácticas de comunicación implementadas para reducir en un 50% las reuniones síncronas y mejorar la eficiencia del equipo.""]","{""texto"": ""Domina la comunicación asíncrona y transforma la productividad de tu equipo. Aprende a utilizar herramientas digitales y nuevas etiquetas de comunicación para reducir reuniones hasta en un 50%, mejorar la documentación y fomentar la colaboración efectiva en equipos distribuidos."", ""beneficios"": ""Reduce drásticamente las reuniones innecesarias, fomenta el 'deep work' sin interrupciones, mejora la claridad de la comunicación y crea un archivo histórico de decisiones y procesos."", ""diferenciador"": ""Un enfoque 100% práctico y orientado a resultados medibles, con plantillas y casos de uso reales de startups exitosas para aplicar desde el primer día y alcanzar el objetivo de reducir las reuniones a la mitad."", ""publico_objetivo"": ""Especialmente diseñado para equipos de desarrollo de software, startups en crecimiento y cualquier profesional que trabaje en un entorno remoto o híbrido."", ""estructura_general"": ""El curso se divide en módulos prácticos: fundamentos de la comunicación asíncrona, selección y dominio de herramientas (Slack, Notion, Asana), técnicas de redacción efectiva para claridad y guías para construir una cultura 'async-first'.""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""3 nombres generados correctamente""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""4 objetivos en rango válido (3-6)""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción completa con todos los campos""}, {""code"": ""VAL_004"", ""passed"": true, ""message"": ""Todos los objetivos usan verbos de Bloom""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Objetivos bien formulados con verbos observables de la taxonomía de Bloom"", ""confidence"": 0.9194842414692278}",0,0,{},,2026-01-16 17:40:31.031238+00,2026-01-16 17:41:08.403509+00
33c1d1de-f9ca-4372-b14f-ec62ce3f5ad8,run-1767372202406,,GPT´s para valientes,"[""GPT´s para valientes""]","[""Comprender la naturaleza del modelo de lenguaje y las funciones clave de la interfaz ChatGPT para una interacción efectiva."", ""Comprender y aplicar los conceptos de los primeros pasos para la programación del asistente objetivo general: aplicar los pasos fundamentales para definir el rol, las acciones específicas y los límites operativos del gpt personalizado. duración: 1 hora 30 min (aprox.)"", ""Comprender y aplicar los conceptos de refinando el estilo, usando contexto y validación final objetivo general: configurar el tono de comunicación, integrar fuentes de contexto externo y validar el desempeño del gpt para su uso real. duración: 1 hora 45 min (aprox.)""]","{""texto"": ""Curso estructurado en 3 módulos que cubren desde los fundamentos hasta aplicaciones avanzadas."", ""beneficios"": ""Desarrollo de competencias clave"", ""diferenciador"": ""Contenido estructurado y práctico"", ""publico_objetivo"": ""Profesionales y equipos"", ""estructura_general"": ""3 módulos con lecciones prácticas""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""Nombres válidos""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""Objetivos completos""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción válida""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Importado manualmente - validación automática"", ""confidence"": 1}",0,1,"{""imported"": true, ""import_date"": ""2026-01-02T16:43:22.387Z""}",,2026-01-02 16:43:22.598051+00,2026-01-02 16:43:22.598051+00
4a392f00-b5a3-4218-a3db-1ef0ed694c29,run-1767117381810,python-001,curso de python basico desde cero,"[""Fundamentos de Python para el Entorno Profesional"", ""Python Start: De Cero a Desarrollador"", ""Dominio de Python: Impulsa tu Eficiencia con Programación""]","[""Comprender los fundamentos de la sintaxis y tipos de datos en Python para construir programas básicos."", ""Identificar las estructuras de control y funciones necesarias para resolver problemas lógicos."", ""Implementar buenas prácticas de codificación para asegurar la legibilidad y mantenimiento del software."", ""Desarrollar aplicaciones funcionales que automaticen tareas cotidianas en el entorno laboral.""]","{""texto"": ""Este curso integral está diseñado para transformar a principiantes sin experiencia previa en programadores capaces de crear soluciones eficientes mediante Python. A través de un enfoque práctico y corporativo, los estudiantes dominarán la lógica de programación esencial para enfrentar desafíos tecnológicos modernos."", ""beneficios"": ""Capacidad para automatizar procesos manuales, desarrollo de pensamiento computacional lógico y adquisición de la habilidad técnica más demandada en el mercado laboral actual."", ""diferenciador"": ""Metodología basada en casos de uso empresariales que permite al estudiante construir un portafolio de herramientas útiles desde la primera sesión."", ""publico_objetivo"": ""Profesionales de diversas áreas, analistas, administrativos y cualquier persona interesada en iniciar su camino en la programación desde cero sin conocimientos previos."", ""estructura_general"": ""El programa se organiza en cuatro módulos progresivos: Fundamentos y Sintaxis, Lógica y Estructuras de Control, Modularidad con Funciones, y un Proyecto Final de Aplicación Real.""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""3 nombres generados correctamente""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""4 objetivos en rango válido (3-6)""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción completa con todos los campos""}, {""code"": ""VAL_004"", ""passed"": true, ""message"": ""Todos los objetivos usan verbos de Bloom""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Objetivos bien formulados con verbos observables de la taxonomía de Bloom"", ""confidence"": 0.8839048459588662}",0,0,{},,2025-12-30 17:56:21.964277+00,2025-12-30 17:56:44.658091+00
4c285951-852c-4cf7-8e34-6090118230dd,run-1768196040349,,Gestión del tiempo y productividad personal,"[""Gestión Estratégica del Tiempo y Productividad Empresarial"", ""Dominando el Reloj: De la Reactividad a la Alta Eficiencia"", ""Maximiza tus Resultados: Productividad para el Equilibrio Profesional""]","[""Identificar los ladrones del tiempo y patrones de comportamiento que obstaculizan el rendimiento diario."", ""Aplicar metodologías ágiles y herramientas como la Matriz de Eisenhower para una priorización efectiva de tareas."", ""Desarrollar hábitos de enfoque profundo (Deep Work) para minimizar la procrastinación y las distracciones digitales."", ""Diseñar un sistema personalizado de planificación semanal que alinee las actividades operativas con los objetivos estratégicos.""]","{""texto"": ""Este programa integral transforma la manera en que los profesionales interactúan con sus responsabilidades, moviéndose de un estado de urgencia constante a una planificación deliberada. A través de técnicas probadas, los participantes aprenderán a gestionar no solo su tiempo, sino su energía y atención para lograr un desempeño sostenible."", ""beneficios"": ""Aumento significativo en la finalización de proyectos clave, reducción de los niveles de estrés laboral, mejora en la toma de decisiones bajo presión y recuperación del equilibrio vida-trabajo."", ""diferenciador"": ""Integra principios de neurociencia aplicada para gestionar la carga cognitiva, enfocándose en la productividad basada en energía y no solo en listas de tareas."", ""publico_objetivo"": ""Ejecutivos, mandos medios y profesionales independientes que enfrentan altas cargas de trabajo y buscan optimizar su rendimiento sin sacrificar su bienestar."", ""estructura_general"": ""Diagnóstico de productividad, Fundamentos de priorización, Gestión de la energía y atención, Herramientas tecnológicas de organización y Plan de acción sostenible.""}",APPROVED,"{""results"": [{""code"": ""VAL_001"", ""passed"": true, ""message"": ""3 nombres generados correctamente""}, {""code"": ""VAL_002"", ""passed"": true, ""message"": ""4 objetivos en rango válido (3-6)""}, {""code"": ""VAL_003"", ""passed"": true, ""message"": ""Descripción completa con todos los campos""}, {""code"": ""VAL_004"", ""passed"": true, ""message"": ""Todos los objetivos usan verbos de Bloom""}], ""all_passed"": true}","{""passed"": true, ""rationale"": ""Objetivos bien formulados con verbos observables de la taxonomía de Bloom"", ""confidence"": 0.9110346205617527}",0,0,{},,2026-01-12 05:34:00.347478+00,2026-01-12 05:34:23.002927+00
